delta_t,flux,flux_err,freq
21.6,0.22,0.042,4.8
21.6,0.659,0.07200000000000001,7.4
21.6,0.659,0.077,18.8
21.6,0.454,0.067,22.0
21.6,0.519,0.079,23.6
21.6,0.495,0.061,25.2
27.6,0.404,0.047,4.8
27.6,0.739,0.073,7.4
27.6,0.735,0.081,8.4
27.6,0.631,0.078,9.1
27.6,0.628,0.066,9.9
27.6,0.5750000000000001,0.068,10.9
27.6,0.457,0.053,13.3
27.6,0.455,0.056,14.3
27.6,0.402,0.052000000000000005,15.3
27.6,0.394,0.054,16.3
27.6,0.341,0.048,17.4
27.6,0.233,0.046,22.0
43.5,0.5730000000000001,0.065,4.8
43.5,0.47500000000000003,0.057,7.4
43.5,0.443,0.058,8.4
43.5,0.437,0.058,9.1
43.5,0.34500000000000003,0.042,9.9
43.5,0.298,0.044,10.9
43.5,0.22,0.032,13.6
43.5,0.211,0.033,15.4
43.5,0.17400000000000002,0.032,17.1
43.5,0.145,0.026000000000000002,22.0
75.4,0.28400000000000003,0.045,4.8
75.4,0.193,0.033,7.4
75.4,0.194,0.041,8.4
75.4,0.163,0.027,9.1
75.4,0.165,0.031,9.9
75.4,0.162,0.029,10.9
75.4,0.093,0.016,15.4
